Id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,
120,PRAIRIE COMMUNITY HOSPITAL,312 S ADAMS,TERRY,MT,59349,PRAIRIE,4066355511,3,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
121,WHEATLAND MEMORIAL HOSPITAL,530 3RD ST NW,HARLOWTON,MT,59036,WHEATLAND,4066324351,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
122,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,"1010 SOUTH 7650 EAST, POST OFFICE BOX 9",CROW AGENCY,MT,59022,BIG HORN,4066382626,3,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
123,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,BUFFALO,3088657100,1,8,TRUE,FALSE,3,6,3,6,3,6,1,6,3,6,3,6,1,6,3,6,
124,THE NEBRASKA MEDICAL CENTER DBA NEBRASKA MEDICINE,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,DOUGLAS,4025522040,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,1,6,3,6,2,6,1,6,
125,"NEBRASKA SPINE HOSPITAL, LLC","P O BOX 34400, 6901 NORTH 72ND ST, STE 20300",OMAHA,NE,68122,DOUGLAS,4025723000,1,6,FALSE,TRUE,6,2,4,1,4,1,4,1,1,6,4,1,4,1,4,1,
126,HARLAN COUNTY HEALTH SYSTEM,"P O BOX 836, 717 NORTH BROWN ST",ALMA,NE,68920,HARLAN,3089282151,3,9,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,3,6,
127,FILLMORE COUNTY HOSPITAL,"P O BOX 193, 1900 F STREET",GENEVA,NE,68361,FILLMORE,4027593167,3,3,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,3,6,4,1,4,1,
128,PAWNEE COUNTY MEMORIAL HOSPITAL,"P O BOX 433, 600 I ST",PAWNEE CITY,NE,68420,PAWNEE,4028522231,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
129,NIOBRARA VALLEY HOSPITAL,"P O BOX 118, 401 SOUTH 5TH STREET",LYNCH,NE,68746,BOYD,4025692451,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
130,COMMUNITY MEMORIAL HOSPITAL,"P O BOX N, 1579 MIDLAND ST",SYRACUSE,NE,68446,OTOE,4022692011,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
131,GENOA COMMUNITY HOSPITAL,"P O BOX 310, 706 EWING AVE",GENOA,NE,68640,NANCE,4029932283,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
132,ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER,"P O BOX 428, 531 BEEBE ST",OSCEOLA,NE,68651,POLK,4027472031,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
133,BRODSTONE MEMORIAL HOSP,"P O BOX 187, 520 EAST 10TH ST",SUPERIOR,NE,68978,NUCKOLLS,4028793281,3,10,TRUE,TRUE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
134,WEBSTER COUNTY COMMUNITY HOSPITAL,"P O BOX 465, 621 N FRANKLIN ST",RED CLOUD,NE,68970,WEBSTER,4027465600,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
135,JEFFERSON COMMUNITY HEALTH CENTER,"P O BOX 277, 2200 H ST",FAIRBURY,NE,68352,JEFFERSON,4027293351,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,3,6,3,6,
136,ANTELOPE MEMORIAL HOSPITAL,"P O BOX 229, 102 WEST 9TH ST",NELIGH,NE,68756,ANTELOPE,4028874151,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,3,6,3,6,
137,COZAD COMMUNITY HOSPITAL,"P O BOX 108, 300 EAST 12TH ST",COZAD,NE,69130,DAWSON,3087842261,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
138,AVERA CREIGHTON HOSPITAL,"P O BOX 186, 1503 MAIN ST",CREIGHTON,NE,68729,KNOX,4023585700,3,10,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
139,BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,BOONE,4023952191,3,3,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,3,6,4,1,
140,CALLAWAY DISTRICT HOSPITAL,"P O BOX 100, 211 E KIMBALL ST",CALLAWAY,NE,68825,CUSTER,3088362228,3,2,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
141,HOWARD COUNTY MEDICAL CENTER,"P O BOX 406, 1113 SHERMAN ST",ST PAUL,NE,68873,HOWARD,3087544421,3,9,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,4,1,3,6,
142,DUNDY COUNTY HOSPITAL,"P O BOX 626, 1313 NORTH CHEYENNE ST",BENKELMAN,NE,69021,DUNDY,3084232204,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
143,CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,CHERRY,4023762525,3,3,TRUE,TRUE,3,6,4,1,4,1,3,6,3,6,4,1,4,1,3,6,
144,CHI HEALTH PLAINVIEW,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,PIERCE,4025824245,3,8,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,3,6,1,6,4,1,
145,OSMOND GENERAL HOSPITAL,"P O BOX 429, 402 NORTH MAPLE ST",OSMOND,NE,68765,PIERCE,4027483393,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
146,PENDER COMMUNITY HOSPITAL,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,NE,68047,THURSTON,4023853083,3,2,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,3,6,4,1,
147,CHASE COUNTY COMMUNITY HOSPITAL,"P O BOX 819, 600 W 12TH ST",IMPERIAL,NE,69033,CHASE,3088827111,3,3,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,3,6,4,1,
148,"COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 3307 BARADA ST",FALLS CITY,NE,68355,RICHARDSON,4022452428,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,3,6,4,1,
149,CRETE AREA MEDICAL CENTER,"P O BOX 220, 2910 BETTEN DR",CRETE,NE,68333,SALINE,4028262102,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,3,6,4,1,
150,BOX BUTTE GENERAL HOSPITAL,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,BOX BUTTE,3087626660,3,3,TRUE,TRUE,3,6,3,6,4,1,3,6,3,6,4,1,3,6,4,1,
151,LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,DAWSON,3083245651,3,2,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,3,6,4,1,
152,COMMUNITY HOSPITAL,"P O BOX 1328, 1301 EAST H ST",MCCOOK,NE,69001,RED WILLOW,3083442650,3,9,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,3,6,
153,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,NE,68310,GAGE,4022283344,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,1,6,3,6,1,6,3,6,
154,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,CLARK,7026165000,1,10,TRUE,TRUE,1,6,2,6,2,6,1,6,2,6,3,6,2,6,1,6,
155,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,ESSEX,9734502002,1,10,TRUE,TRUE,3,6,3,6,1,6,3,6,2,6,3,6,2,6,3,6,
156,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,MIDDLESEX,8664604776,1,10,TRUE,TRUE,3,6,3,6,1,6,2,6,3,6,3,6,2,6,3,6,
157,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,6094632000,1,10,TRUE,TRUE,3,6,3,6,3,6,2,6,3,6,3,6,2,6,2,6,
158,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,MONMOUTH,7327412700,1,6,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,2,6,3,6,
159,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,MIDDLESEX,7329378900,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,1,6,
160,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,MERCER,6093034000,1,10,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
161,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,ESSEX,9734296000,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,2,6,3,6,3,6,
162,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,MERCER,6095867900,1,10,TRUE,TRUE,1,6,3,6,2,6,2,6,2,6,3,6,2,6,1,6,
163,MESCALERO PHS INDIAN HOSPITAL,P O BOX 210,MESCALERO,NM,88340,OTERO,5054644441,1,1,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
164,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,SAN JUAN,5053686001,1,1,TRUE,TRUE,2,4,4,1,4,1,3,6,2,6,3,6,4,1,4,1,
165,ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH B STREET,ZUNI,NM,87327,MCKINLEY,5057824431,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
166,CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,CROWNPOINT,NM,87313,MCKINLEY,5057865291,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
167,DHHS USPHS INDIAN HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,SAN FIDEL,NM,87049,CIBOLA,5055525300,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
168,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,2122417981,1,10,TRUE,TRUE,3,6,1,6,2,6,3,6,2,6,3,6,2,6,3,6,
169,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,1,10,TRUE,TRUE,3,6,3,6,3,6,1,6,3,6,3,6,1,6,3,6,
170,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,7186702000,1,10,TRUE,TRUE,2,6,3,6,1,6,2,6,2,6,2,6,2,6,3,6,
171,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,1,10,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,1,6,2,6,3,6,
172,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,1,9,TRUE,TRUE,2,6,3,6,2,6,3,6,3,6,3,6,3,6,2,6,
173,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
174,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,1,10,TRUE,FALSE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
175,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,QUEENS,7184707000,1,10,TRUE,TRUE,2,6,1,6,2,6,2,6,2,6,2,6,2,6,1,6,
176,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,1,6,
177,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,2125195000,1,3,TRUE,TRUE,2,6,4,1,3,6,2,6,2,6,3,6,2,6,4,1,
178,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,4,1,
179,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,1,4,TRUE,TRUE,2,6,1,6,2,6,2,6,3,6,3,6,2,6,3,6,
180,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,3,1,FALSE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,1,6,4,1,
181,DUKE UNIVERSITY HOSPITAL,PO BOX 3814 DUMC  ERWIN RD,DURHAM,NC,27710,DURHAM,9196848111,1,6,TRUE,TRUE,4,6,3,6,1,6,3,6,1,6,3,6,2,6,3,6,
182,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,FORSYTH,3367162011,1,10,TRUE,TRUE,3,6,3,6,2,6,3,6,3,6,3,6,3,6,1,6,
183,GRANVILLE HEALTH SYSTEMS,COLLEGE ST BOX 947,OXFORD,NC,27565,GRANVILLE,9196903000,1,3,TRUE,TRUE,3,6,3,6,3,6,2,6,3,6,3,6,3,6,3,6,
184,MARIA PARHAM MEDICAL CENTER,PO BOX 59,HENDERSON,NC,27536,VANCE,2524313708,1,6,TRUE,TRUE,2,6,2,6,1,6,2,6,2,6,3,6,2,6,1,6,
185,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSBVILLE RD PO BOX 1823,STATESVILLE,NC,28687,IREDELL,7048730281,1,6,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,3,6,3,6,3,6,
186,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,7044979163,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
187,NOVANT HEALTH MATTHEWS MEDICAL CENTER,1500 MATTHEWS TWNSHP PRKWY BOX 3310,MATTHEWS,NC,28106,MECKLENBURG,7043846500,1,9,TRUE,TRUE,4,6,3,6,1,6,1,6,2,6,3,6,3,6,1,6,
188,OUR COMMUNITY HOSPITAL,921 JUNIOR HIGH ROAD,SCOTLAND NECK,NC,27874,HALIFAX,2528264144,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
189,PIONEER COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,STOKES,3365932831,3,6,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
190,ALLEGHANY COUNTY MEMORIAL HOSPITAL,617 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,3363725511,3,10,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,4,1,1,6,4,1,
191,CHARLES A CANNON JR MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646,AVERY,8287377000,3,10,TRUE,TRUE,3,4,3,6,4,1,3,6,3,6,4,1,4,1,4,1,
192,P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,PO BOX 160,BELCOURT,ND,58316,ROLETTE,7014776111,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,3,6,4,1,4,1,
193,STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,10 NORTH RIVER ROAD,FORT YATES,ND,58538,SIOUX,7018543831,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
194,KENMARE COMMUNITY HOSPITAL,PO BOX 697,KENMARE,ND,58746,WARD,7013854296,3,10,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
195,NORTHWOOD DEACONESS HEALTH CENTER,PO BOX 190,NORTHWOOD,ND,58267,GRAND FORKS,7015876060,3,8,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
196,CARRINGTON HEALTH CENTER,PO BOX 461,CARRINGTON,ND,58421,FOSTER,7016523141,3,10,TRUE,TRUE,4,6,3,6,4,1,3,6,4,1,3,6,1,6,3,6,
197,PEMBINA COUNTY MEMORIAL HOSPITAL,BOX 380,CAVALIER,ND,58220,PEMBINA,7012658461,3,10,TRUE,TRUE,3,6,4,1,4,1,3,6,4,1,3,6,4,1,3,6,
198,TOWNER COUNTY MEDICAL CENTER,HWY 281 N,CANDO,ND,58324,TOWNER,7019684411,3,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
199,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,9372088000,1,10,TRUE,TRUE,4,6,1,6,3,6,1,6,2,6,3,6,3,6,3,6,
200,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DRIVE,FRANKLIN,OH,45005,WARREN,5134205102,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,2,6,3,6,3,6,3,6,
201,LAKE HEALTH,7590 AUBURN ROAD,CONCORD,OH,44077,LAKE,4409539600,1,10,TRUE,TRUE,4,6,1,6,1,6,2,6,3,6,3,6,2,6,1,6,
202,MEDICAL CENTER AT ELIZABETH PLACE,ONE ELIZABETH PLACE,DAYTON,OH,45417,MONTGOMERY,9378531053,1,1,TRUE,TRUE,6,2,4,1,4,1,4,1,3,6,3,6,4,1,4,1,
203,DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,MONTGOMERY,9376413450,2,10,TRUE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
204,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,3229 BURNETT AVENUE,CINCINNATI,OH,45229,HAMILTON,5138726000,2,10,FALSE,TRUE,6,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
205,MCALESTER REGIONAL HEALTH CENTER AUTHORITY,ONE CLARK BASS BOULEVARD,MCALESTER,OK,74501,PITTSBURG,9184261800,1,9,TRUE,TRUE,2,6,2,6,2,6,3,6,2,6,3,6,1,6,2,6,
206,STILLWATER MEDICAL CENTER AUTHORITY,1323 WEST 6TH STREET,STILLWATER,OK,74076,PAYNE,4053721480,1,9,TRUE,TRUE,4,6,3,6,3,6,1,6,1,6,3,6,1,6,3,6,
207,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,CHICKASHA,OK,73018,GRADY,4052242300,1,2,TRUE,TRUE,3,6,3,6,3,6,3,6,3,6,3,6,1,6,3,6,
208,HILLCREST HOSPITAL HENRYETTA,2401 W MAIN DEWEY,HENRYETTA,OK,74437,OKMULGEE,9186501511,1,6,TRUE,TRUE,3,6,3,6,4,1,3,6,4,1,3,6,1,6,4,1,
209,LINDSAY MUNICIPAL HOSPITAL,1305 W CHEROKEE STREET - HIGHWAY 19 WEST,LINDSAY,OK,73052,GARVIN,4057561404,1,2,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
210,MCBRIDE ORTHOPEDIC HOSPITAL,9600 NORTH BROADWAY EXTENSION,OKLAHOMA CITY,OK,73114,OKLAHOMA,4054862100,1,5,TRUE,TRUE,5,6,4,1,3,6,4,1,1,6,3,6,3,6,4,1,
211,JEFFERSON COUNTY HOSPITAL,INTERSECTION HYWS 81 & 70,WAURIKA,OK,73573,JEFFERSON,5802282344,3,2,TRUE,TRUE,6,2,4,1,4,1,3,6,4,1,4,1,4,1,4,1,
212,QUARTZ MOUNTAIN MEDICAL CENTER,ONE WICKERSHAM DRIVE,MANGUM,OK,73554,GREER,5807823353,3,6,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
213,SEILING MUNICIPAL HOSPITAL,US HIGHWAY 60,SEILING,OK,73663,DEWEY,5809227361,3,3,TRUE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
214,ST ANTHONY HOSPITAL,2801 ST ANTHONY WAY,PENDLETON,OR,97801,UMATILLA,5412765121,3,8,TRUE,TRUE,4,4,3,6,4,1,3,6,1,6,4,1,4,1,4,1,
215,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,UNION,5705222200,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,1,6,3,6,2,6,3,6,
216,KENSINGTON HOSPITAL,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,PHILADELPHIA,2154268100,1,9,FALSE,FALSE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
217,ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE ST,NATRONA,PA,15065,ALLEGHENY,4122245100,1,9,TRUE,TRUE,3,6,3,6,3,6,3,6,2,6,3,6,1,6,2,6,
218,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,LEBANON,PA,17042,LEBANON,7172707500,1,9,TRUE,TRUE,2,6,2,6,2,6,1,6,1,6,3,6,2,6,2,6,
219,ROBERT PACKER HOSPITAL,ONE GUTHRIE SQUARE,SAYRE,PA,18840,BRADFORD,5708886666,1,9,TRUE,TRUE,2,6,3,6,2,6,2,6,3,6,3,6,3,6,3,6,
220,CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,CLARION,8142269500,1,9,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,1,6,2,6,
221,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,2156623227,1,10,TRUE,TRUE,4,6,3,6,3,6,2,6,1,6,3,6,2,6,3,6,
222,POTTSTOWN MEMORIAL MEDICAL CENTER,1600 EAST HIGH STREET AND ARMAND HAMMER BLVD,POTTSTOWN,PA,19464,MONTGOMERY,6103277000,1,6,TRUE,TRUE,1,6,2,6,1,6,2,6,2,6,3,6,3,6,3,6,
223,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,WARREN,8147233300,1,10,TRUE,TRUE,3,6,3,6,2,6,3,6,2,6,3,6,3,6,3,6,
224,MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,DARBY,PA,19023,DELAWARE,2152374000,1,10,TRUE,TRUE,2,6,3,6,2,6,2,6,2,6,3,6,2,6,3,6,
225,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING,PA,16201,ARMSTRONG,7245438500,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,3,6,3,6,1,6,3,6,
226,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,BUTLER,PA,16001,BUTLER,7242836666,1,10,TRUE,TRUE,4,6,3,6,1,6,1,6,3,6,3,6,1,6,3,6,
227,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,6104472000,1,9,TRUE,TRUE,2,6,3,6,2,6,3,6,2,6,3,6,2,6,3,6,
228,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,LATROBE,PA,15650,WESTMORELAND,7245371000,1,9,TRUE,TRUE,3,6,3,6,3,6,2,6,1,6,3,6,1,6,3,6,
229,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,BUCKS,2157502003,1,8,TRUE,TRUE,4,6,3,6,1,6,2,6,1,6,3,6,2,6,3,6,
230,CHILDREN'S HOSPITAL OF PHILADELPHIA,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,PHILADELPHIA,2155903745,2,10,TRUE,TRUE,6,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
231,HOSPITAL METROPOLITANO DR PILA,2435 LAS AMERICAS AVE,PONCE,PR,733,PONCE,7878485600,1,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
232,"ASOCIACION HOSPITAL DEL MAESTRO, INC",SERGIO CUEVAS BUSTAMANTE STREET 550,SAN JUAN,PR,936,SAN JUAN,7877586420,1,9,TRUE,TRUE,6,2,3,6,4,1,2,6,4,1,4,1,4,1,4,1,
233,HIMA SAN PABLO HUMACAO,CALLE FONT MARTELO #3,HUMACAO,PR,791,HUMACAO,7878522424,1,6,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
234,DOCTORS' CENTER HOSPITAL SAN JUAN,PDA. 20 C/ SAN RAFAEL # 1395,FERNANDEZ JUNCOS,PR,909,SAN JUAN,7877232950,1,6,TRUE,TRUE,6,2,4,1,4,1,2,6,4,1,4,1,4,1,4,1,
235,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,HUMACAO,PR,791,HUMACAO,7878520768,1,10,TRUE,FALSE,6,2,3,6,4,1,3,6,4,1,4,1,4,1,4,1,
236,SANTA ROSA CLINIC,AVE. LOS VETERANOS #3 KM 135 7 EXIT TO ARROYO,GUAYAMA,PR,785,GUAYANILLA,7878640101,1,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
237,HOSPITAL GENERAL DE CASTANER,CARR 135 KM 64 2,CASTANER,PR,631,LARES,7878295010,1,10,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
238,HOSPITAL ORIENTE,300 FONT MARTELLO STREET,HUMACAO,PR,792,HUMACAO,7878520505,1,6,TRUE,TRUE,6,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,
